Prov_Name,Topic,Characteristic,Total
Canada,Selected family characteristics,Median after-tax income in 2005 - All census families ($),55111
Canada,Selected family characteristics,   Median after-tax income in 2005 - Married-couple families ($),61221
Canada,Selected family characteristics,   Median after-tax income in 2005 - Common-law-couple families ($),54815
Canada,Selected family characteristics,   Median after-tax income in 2005 - Lone-parent families ($),34205
Canada,Selected family characteristics,      Median after-tax income in 2005 - Female lone-parent families ($),32609
Canada,Selected family characteristics,      Median after-tax income in 2005 - Male lone-parent families ($),41661
Canada,Selected household characteristics,Total private households,12437470
Canada,Selected household characteristics,   Households containing a couple (married or common-law) with children,3543605
Canada,Selected household characteristics,   Households containing a couple (married or common-law) without children,3601315
Canada,Selected household characteristics,   One-person households,3327050
Canada,Selected household characteristics,   Other household types,1965495
Canada,Selected household characteristics,Median income in 2005 - All private households ($),53634
Canada,Selected household characteristics,   Median income in 2005 - Couple households with children ($),82156
Canada,Selected household characteristics,   Median income in 2005 - Couple households without children ($),62503
Canada,Selected household characteristics,   Median income in 2005 - One-person households ($),26720
Canada,Selected household characteristics,   Median income in 2005 - Other household types ($),46347
Canada,Selected household characteristics,Median after-tax income in 2005 - All private households ($),46584
Canada,Selected household characteristics,   Median after-tax income in 2005 - Couple households with children ($),69711
Canada,Selected household characteristics,   Median after-tax income in 2005 - Couple households without children ($),53667
Canada,Selected household characteristics,   Median after-tax income in 2005 - One-person households ($),23888
Canada,Selected household characteristics,   Median after-tax income in 2005 - Other household types ($),42053
Canada,Selected household characteristics,Median monthly payments for rented dwellings ($),671
Canada,Selected household characteristics,Median monthly payments for owner-occupied dwellings ($),839
Canada,Selected household characteristics,Average household size,2.5
Canada,Mother tongue,Total population,31241030
Canada,Mother tongue,   English only,17882780
Canada,Mother tongue,   French only,6817650
Canada,Mother tongue,   English and French,98630
Canada,Mother tongue,   Other language(s),6441975
Canada,Knowledge of official languages,Total population,31241030
Canada,Knowledge of official languages,   English only,21129945
Canada,Knowledge of official languages,   French only,4141850
Canada,Knowledge of official languages,   English and French,5448850
Canada,Knowledge of official languages,   Neither English nor French,520385
Canada,Language spoken most often at home,Total population,31241030
Canada,Language spoken most often at home,   English,20584775
Canada,Language spoken most often at home,   French,6608120
Canada,Language spoken most often at home,   Non-official language,3472130
Canada,Language spoken most often at home,   English and French,94060
Canada,Language spoken most often at home,   English and non-official language,406455
Canada,Language spoken most often at home,   French and non-official language,58885
Canada,Language spoken most often at home,"   English, French and non-official language",16600
Canada,Immigrant status and period of immigration,Total population,31241030
Canada,Immigrant status and period of immigration,   Non-immigrants,24788725
Canada,Immigrant status and period of immigration,   Immigrants,6186950
Canada,Immigrant status and period of immigration,      Before 1991,3408420
Canada,Immigrant status and period of immigration,      1991 to 2000,1668550
Canada,Immigrant status and period of immigration,      2001 to 2006,1109980
Canada,Immigrant status and period of immigration,   Non-permanent residents,265355
Canada,Citizenship,Total population,31241030
Canada,Citizenship,   Canadian citizens,29480165
Canada,Citizenship,      Canadian citizens under age 18,6604285
Canada,Citizenship,      Canadian citizens age 18 and over,22875880
Canada,Citizenship,   Not Canadian citizens,1760865
Canada,Generation status,Total population 15 years and over,25664220
Canada,Generation status,   1st generation,6124560
Canada,Generation status,   2nd generation,4006420
Canada,Generation status,   3rd generation or more,15533240
Canada,Mobility status - Place of residence 1 year ago,Total population 1 year and over,30897210
Canada,Mobility status - Place of residence 1 year ago,   Lived at the same address 1 year ago,26534115
Canada,Mobility status - Place of residence 1 year ago,"   Lived within the same province or territory 1 year ago, but changed addresses within the same census subdivision (municipality)",2554260
Canada,Mobility status - Place of residence 1 year ago,"   Lived within the same province or territory 1 year ago, but changed addresses from another census subdivision (municipality) within the same province or territory",1221560
Canada,Mobility status - Place of residence 1 year ago,   Lived in a different province or territory 1 year ago,289745
Canada,Mobility status - Place of residence 1 year ago,   Lived in a different country 1 year ago,297530
Canada,Mobility status - Place of residence 5 years ago,Total population 5 years and over,29544485
Canada,Mobility status - Place of residence 5 years ago,   Lived at the same address 5 years ago,17457170
Canada,Mobility status - Place of residence 5 years ago,"   Lived within the same province or territory 5 years ago, but changed addresses within the same census subdivision (municipality)",6507905
Canada,Mobility status - Place of residence 5 years ago,"   Lived within the same province or territory 5 years ago, but changed addresses from another census subdivision (municipality) within the same province or territory",3566790
Canada,Mobility status - Place of residence 5 years ago,   Lived in a different province or territory 5 years ago,852580
Canada,Mobility status - Place of residence 5 years ago,   Lived in a different country 5 years ago,1160040
Canada,Aboriginal population,Total Aboriginal and non-Aboriginal identity population,31241030
Canada,Aboriginal population,   Aboriginal identity population,1172785
Canada,Aboriginal population,   Non-Aboriginal identity population,30068240
Canada,Educational attainment,Total population 15 years and over,25664220
Canada,Educational attainment,"   No certificate, diploma or degree",6098325
Canada,Educational attainment,   High school certificate or equivalent,6553425
Canada,Educational attainment,   Apprenticeship or trades certificate or diploma,2785420
Canada,Educational attainment,"   College, CEGEP or other non-university certificate or diploma",4435135
Canada,Educational attainment,   University certificate or diploma below the bachelor level,1136145
Canada,Educational attainment,"   University certificate, diploma or degree",4655770
Canada,Educational attainment,Total population aged 15 to 24,4207810
Canada,Educational attainment,"   No certificate, diploma or degree",1679015
Canada,Educational attainment,   High school certificate or equivalent,1528010
Canada,Educational attainment,   Apprenticeship or trades certificate or diploma,185170
Canada,Educational attainment,"   College, CEGEP or other non-university certificate or diploma",458380
Canada,Educational attainment,   University certificate or diploma below the bachelor level,87420
Canada,Educational attainment,"   University certificate, diploma or degree",269810
Canada,Educational attainment,Total population aged 25 to 34,3987075
Canada,Educational attainment,"   No certificate, diploma or degree",433940
Canada,Educational attainment,   High school certificate or equivalent,897830
Canada,Educational attainment,   Apprenticeship or trades certificate or diploma,416045
Canada,Educational attainment,"   College, CEGEP or other non-university certificate or diploma",906155
Canada,Educational attainment,   University certificate or diploma below the bachelor level,181350
Canada,Educational attainment,"   University certificate, diploma or degree",1151750
Canada,Educational attainment,Total population aged 35 to 64,13395040
Canada,Educational attainment,"   No certificate, diploma or degree",2249565
Canada,Educational attainment,   High school certificate or equivalent,3258905
Canada,Educational attainment,   Apprenticeship or trades certificate or diploma,1739965
Canada,Educational attainment,"   College, CEGEP or other non-university certificate or diploma",2627220
Canada,Educational attainment,   University certificate or diploma below the bachelor level,685385
Canada,Educational attainment,"   University certificate, diploma or degree",2833995
Canada,Major field of study,Total population 15 years and over,25664220
Canada,Major field of study,"   No postsecondary certificate, diploma or degree",12651750
Canada,Major field of study,   Education,994665
Canada,Major field of study,"   Visual and performing arts, and communications technologies",481190
Canada,Major field of study,   Humanities,717125
Canada,Major field of study,   Social and behavioural sciences and law,1275100
Canada,Major field of study,"   Business, management and public administration",2801725
Canada,Major field of study,   Physical and life sciences and technologies,451960
Canada,Major field of study,"   Mathematics, computer and information sciences",568755
Canada,Major field of study,"   Architecture, engineering, and related technologies",2922080
Canada,Major field of study,"   Agriculture, natural resources and conservation",291510
Canada,Major field of study,"   Health, parks, recreation and fitness",1728890
Canada,Major field of study,"   Personal, protective and transportation services",777370
Canada,Major field of study,   Other,2100
Canada,Location of study,Total population 15 years and over,25664220
Canada,Location of study,"   No postsecondary certificate, diploma or degree",12651750
Canada,Location of study,"   Postsecondary certificate, diploma or degree",13012475
Canada,Location of study,      Inside Canada,10948685
Canada,Location of study,      Outside Canada,2063785
Canada,Labour force activity,Total population 15 years and over,25664220
Canada,Labour force activity,   In the labour force,17146135
Canada,Labour force activity,      Employed,16021180
Canada,Labour force activity,      Unemployed,1124955
Canada,Labour force activity,   Not in the labour force,8518085
Canada,Labour force activity,Participation rate,66.8
Canada,Labour force activity,Employment rate,62.4
Canada,Labour force activity,Unemployment rate,6.6
Canada,Occupation,Total experienced labour force 15 years and over,16861180
Canada,Occupation,   A  Management occupations,1631730
Canada,Occupation,"   B  Business, finance and administration occupations",3025425
Canada,Occupation,   C  Natural and applied sciences and related occupations,1108045
Canada,Occupation,   D  Health occupations,950360
Canada,Occupation,"   E  Occupations in social science, education, government service and religion",1414320
Canada,Occupation,"   F  Occupations in art, culture, recreation and sport",502195
Canada,Occupation,   G  Sales and service occupations,4037720
Canada,Occupation,"   H  Trades, transport and equipment operators and related occupations",2550295
Canada,Occupation,   I  Occupations unique to primary industry,648310
Canada,Occupation,"   J  Occupations unique to processing, manufacturing and utilities",992765
Canada,Industry,Total experienced labour force 15 years and over,16861180
Canada,Industry,   Agriculture and other resource-based industries,895415
Canada,Industry,   Construction,1069095
Canada,Industry,   Manufacturing,2005980
Canada,Industry,   Wholesale trade,739305
Canada,Industry,   Retail trade,1917170
Canada,Industry,   Finance and real estate,992720
Canada,Industry,   Health care and social services,1716255
Canada,Industry,   Educational services,1150535
Canada,Industry,   Business services,3103195
Canada,Industry,   Other services,3271505
Canada,Unpaid work,Population 15 years and over reporting hours of unpaid work,23496920
Canada,Unpaid work,Population 15 years and over reporting hours of unpaid housework,23178395
Canada,Unpaid work,Population 15 years and over reporting hours looking after children without pay,9625655
Canada,Unpaid work,Population 15 years and over reporting hours of unpaid care or assistance to seniors,4724325
Canada,Language used most often at work,Total population 15 years and over who worked since 2005,18418100
Canada,Language used most often at work,   English,14064105
Canada,Language used most often at work,   French,3724975
Canada,Language used most often at work,   Non-official language,273830
Canada,Language used most often at work,   English and French,252295
Canada,Language used most often at work,   English and non-official language,86820
Canada,Language used most often at work,   French and non-official language,5055
Canada,Language used most often at work,"   English, French and non-official language",11025
Canada,Place of work status,Total employed labour force 15 years and over,16021180
Canada,Place of work status,   Worked at home,1230355
Canada,Place of work status,   Worked outside Canada,76570
Canada,Place of work status,   No fixed workplace address,1644360
Canada,Place of work status,   Worked at usual place,13069895
Canada,Place of work status,      Worked in census subdivision (municipality) of residence,7814510
Canada,Place of work status,      Worked in a different census subdivision (municipality) within the census division (county) of residence,2687845
Canada,Place of work status,      Worked in a different census division (county),2420290
Canada,Place of work status,      Worked in a different province,147250
Canada,Mode of transportation to work,Total employed labour force 15 years and over with a usual place of work or no fixed workplace address,14714260
Canada,Mode of transportation to work,"   Car, truck, van, as driver",10644330
Canada,Mode of transportation to work,"   Car, truck, van, as passenger",1133145
Canada,Mode of transportation to work,   Public transit,1622725
Canada,Mode of transportation to work,   Walked or bicycled,1134805
Canada,Mode of transportation to work,   All other modes,179250
Canada,Visible minority population characteristics,Total population,31241030
Canada,Visible minority population characteristics,   Total visible minority population,5068095
Canada,Visible minority population characteristics,      Chinese,1216565
Canada,Visible minority population characteristics,      South Asian,1262865
Canada,Visible minority population characteristics,      Black,783795
Canada,Visible minority population characteristics,      Filipino,410695
Canada,Visible minority population characteristics,      Latin American,304245
Canada,Visible minority population characteristics,      Southeast Asian,239935
Canada,Visible minority population characteristics,      Arab,265550
Canada,Visible minority population characteristics,      West Asian,156700
Canada,Visible minority population characteristics,      Korean,141890
Canada,Visible minority population characteristics,      Japanese,81300
Canada,Visible minority population characteristics,"      Visible minority, n.i.e.",71420
Canada,Visible minority population characteristics,      Multiple visible minority,133120
Canada,Visible minority population characteristics,   Not a visible minority,26172935
Canada,Earnings in 2005,Persons 15 years and over with earnings (counts),18201265
Canada,Earnings in 2005,   Median earnings - Persons 15 years and over ($),26850
Canada,Earnings in 2005,"      Persons 15 years and over with earnings who worked full year, full time (counts)",9275770
Canada,Earnings in 2005,"         Median earnings - Persons 15 years and over who worked full year, full time ($)",41401
Canada,Income in 2005,Persons 15 years and over with income (counts),24423165
Canada,Income in 2005,   Median income - Persons 15 years and over ($),25615
Canada,Income in 2005,   Median income after tax - Persons 15 years and over ($),23307
Canada,Income in 2005,   Composition of total income (100%),100
Canada,Income in 2005,      Earnings - As a % of total income,76.2
Canada,Income in 2005,      Government transfers - As a % of total income,11.1
Canada,Income in 2005,      Other money - As a % of total income,12.7
Canada,Income in 2005,   Income status of all persons in private households (counts),30628935
Canada,Income in 2005,      % in low income before tax - All persons,15.3
Canada,Income in 2005,      % in low income after tax - All persons,11.4
Canada,Income in 2005,      % in low income before tax - Persons less than 18 years of age,17.7
Canada,Income in 2005,      % in low income after tax - Persons less than 18 years of age,13.1
Newfoundland and Labrador,Population and dwelling counts,Population in 2006,505469
Newfoundland and Labrador,Population and dwelling counts,Population in 2001,512930
Newfoundland and Labrador,Population and dwelling counts,2001 to 2006 population change (%),-1.5
Newfoundland and Labrador,Population and dwelling counts,Total private dwellings,235958
Newfoundland and Labrador,Population and dwelling counts,Private dwellings occupied by usual residents,197245
Newfoundland and Labrador,Population and dwelling counts,Population density per square kilometre,1.4
Newfoundland and Labrador,Population and dwelling counts,Land area (square km),370494.892
Newfoundland and Labrador,Age characteristics,Total population,505470
Newfoundland and Labrador,Age characteristics,   0 to 4 years,22865
Newfoundland and Labrador,Age characteristics,   5 to 9 years,25905
Newfoundland and Labrador,Age characteristics,   10 to 14 years,29455
Newfoundland and Labrador,Age characteristics,   15 to 19 years,34105
Newfoundland and Labrador,Age characteristics,   20 to 24 years,31190
Newfoundland and Labrador,Age characteristics,   25 to 29 years,27425
Newfoundland and Labrador,Age characteristics,   30 to 34 years,30940
Newfoundland and Labrador,Age characteristics,   35 to 39 years,36535
Newfoundland and Labrador,Age characteristics,   40 to 44 years,41670
Newfoundland and Labrador,Age characteristics,   45 to 49 years,42770
Newfoundland and Labrador,Age characteristics,   50 to 54 years,42805
Newfoundland and Labrador,Age characteristics,   55 to 59 years,39370
Newfoundland and Labrador,Age characteristics,   60 to 64 years,30160
Newfoundland and Labrador,Age characteristics,   65 to 69 years,22160
Newfoundland and Labrador,Age characteristics,   70 to 74 years,17530
Newfoundland and Labrador,Age characteristics,   75 to 79 years,13505
Newfoundland and Labrador,Age characteristics,   80 to 84 years,9425
Newfoundland and Labrador,Age characteristics,   85 years and over,7650
Newfoundland and Labrador,Age characteristics,Median age of the population,41.7
Newfoundland and Labrador,Age characteristics,% of the population aged 15 and over,84.5
Newfoundland and Labrador,Common-law status characteristics,Total population 15 years and over,427245
Newfoundland and Labrador,Common-law status characteristics,   Not in a common-law relationship,394155
Newfoundland and Labrador,Common-law status characteristics,   In a common-law relationship,33085
Newfoundland and Labrador,Legal marital status characteristics,Total population 15 years and over,427245
Newfoundland and Labrador,Legal marital status characteristics,   Never legally married (single),132005
Newfoundland and Labrador,Legal marital status characteristics,   Legally married (and not separated),231820
Newfoundland and Labrador,Legal marital status characteristics,"   Separated, but still legally married",9745
Newfoundland and Labrador,Legal marital status characteristics,   Divorced,24015
Newfoundland and Labrador,Legal marital status characteristics,   Widowed,29650
Newfoundland and Labrador,Occupied private dwelling characteristics,Total private dwellings occupied by usual residents,197185
Newfoundland and Labrador,Occupied private dwelling characteristics,   Single-detached houses - as a % of total occupied private dwellings,73.8
Newfoundland and Labrador,Occupied private dwelling characteristics,   Semi-detached houses - as a % of total occupied private dwellings,4.3
Newfoundland and Labrador,Occupied private dwelling characteristics,   Row houses - as a % of total occupied private dwellings,4.9
Newfoundland and Labrador,Occupied private dwelling characteristics,"   Apartments, duplex - as a % of total occupied private dwellings",9.9
Newfoundland and Labrador,Occupied private dwelling characteristics,   Apartments in buildings with fewer than five storeys - as a % of total occupied private dwellings,5.5
Newfoundland and Labrador,Occupied private dwelling characteristics,   Apartments in buildings with five or more storeys - as a % of total occupied private dwellings,0.4
Newfoundland and Labrador,Occupied private dwelling characteristics,   Other dwellings - as a % of total occupied private dwellings,1.2
Newfoundland and Labrador,Occupied private dwelling characteristics,Number of owned dwellings,155195
Newfoundland and Labrador,Occupied private dwelling characteristics,Number of rented dwellings,41670
Newfoundland and Labrador,Occupied private dwelling characteristics,Number of dwellings constructed before 1986,139555
Newfoundland and Labrador,Occupied private dwelling characteristics,Number of dwellings constructed between 1986 and 2006,57630
Newfoundland and Labrador,Occupied private dwelling characteristics,Dwellings requiring major repair - as a % of total occupied private dwellings,7.9
Newfoundland and Labrador,Occupied private dwelling characteristics,Average number of rooms per dwelling,7.2
Newfoundland and Labrador,Occupied private dwelling characteristics,Dwellings with more than one person per room - as a % of total occupied private dwellings,0.4
Newfoundland and Labrador,Occupied private dwelling characteristics,Average value of owned dwelling ($),111711
Newfoundland and Labrador,Selected family characteristics,Total number of census families,155730
Newfoundland and Labrador,Selected family characteristics,   Number of married-couple families,114630
Newfoundland and Labrador,Selected family characteristics,   Number of common-law-couple families,16935
Newfoundland and Labrador,Selected family characteristics,   Number of lone-parent families,24165
Newfoundland and Labrador,Selected family characteristics,      Number of female lone-parent families,19740
Newfoundland and Labrador,Selected family characteristics,      Number of male lone-parent families,4420
Newfoundland and Labrador,Selected family characteristics,Average number of persons in all census families,2.8
Newfoundland and Labrador,Selected family characteristics,   Average number of persons in married-couple families,2.9
Newfoundland and Labrador,Selected family characteristics,   Average number of persons in common-law-couple families,2.8
Newfoundland and Labrador,Selected family characteristics,   Average number of persons in lone-parent families,2.4
Newfoundland and Labrador,Selected family characteristics,      Average number of persons in female lone-parent families,2.5
Newfoundland and Labrador,Selected family characteristics,      Average number of persons in male lone-parent families,2.3
Newfoundland and Labrador,Selected family characteristics,Median income in 2005 - All census families ($),49645
Newfoundland and Labrador,Selected family characteristics,   Median income in 2005 - Married-couple families ($),55622
Newfoundland and Labrador,Selected family characteristics,   Median income in 2005 - Common-law-couple families ($),47887
Newfoundland and Labrador,Selected family characteristics,   Median income in 2005 - Lone-parent families ($),26237
Newfoundland and Labrador,Selected family characteristics,      Median income in 2005 - Female lone-parent families ($),24621
Newfoundland and Labrador,Selected family characteristics,      Median income in 2005 - Male lone-parent families ($),33432
Newfoundland and Labrador,Selected family characteristics,Median after-tax income in 2005 - All census families ($),43398
Newfoundland and Labrador,Selected family characteristics,   Median after-tax income in 2005 - Married-couple families ($),47756
Newfoundland and Labrador,Selected family characteristics,   Median after-tax income in 2005 - Common-law-couple families ($),41707
Newfoundland and Labrador,Selected family characteristics,   Median after-tax income in 2005 - Lone-parent families ($),25408
Newfoundland and Labrador,Selected family characteristics,      Median after-tax income in 2005 - Female lone-parent families ($),24067
Newfoundland and Labrador,Selected family characteristics,      Median after-tax income in 2005 - Male lone-parent families ($),30729
Newfoundland and Labrador,Selected household characteristics,Total private households,197185
Newfoundland and Labrador,Selected household characteristics,   Households containing a couple (married or common-law) with children,60005
Newfoundland and Labrador,Selected household characteristics,   Households containing a couple (married or common-law) without children,66960
Newfoundland and Labrador,Selected household characteristics,   One-person households,39830
Newfoundland and Labrador,Selected household characteristics,   Other household types,30390
Newfoundland and Labrador,Selected household characteristics,Median income in 2005 - All private households ($),44136
Newfoundland and Labrador,Selected household characteristics,   Median income in 2005 - Couple households with children ($),66267
Newfoundland and Labrador,Selected household characteristics,   Median income in 2005 - Couple households without children ($),47231
Newfoundland and Labrador,Selected household characteristics,   Median income in 2005 - One-person households ($),18011
Newfoundland and Labrador,Selected household characteristics,   Median income in 2005 - Other household types ($),34480
Newfoundland and Labrador,Selected household characteristics,Median after-tax income in 2005 - All private households ($),38997
Newfoundland and Labrador,Selected household characteristics,   Median after-tax income in 2005 - Couple households with children ($),56406
Newfoundland and Labrador,Selected household characteristics,   Median after-tax income in 2005 - Couple households without children ($),41366
Newfoundland and Labrador,Selected household characteristics,   Median after-tax income in 2005 - One-person households ($),17368
Newfoundland and Labrador,Selected household characteristics,   Median after-tax income in 2005 - Other household types ($),32419
Newfoundland and Labrador,Selected household characteristics,Median monthly payments for rented dwellings ($),551
Newfoundland and Labrador,Selected household characteristics,Median monthly payments for owner-occupied dwellings ($),480
Newfoundland and Labrador,Selected household characteristics,Average household size,2.5
Newfoundland and Labrador,Mother tongue,Total population,500610
Newfoundland and Labrador,Mother tongue,   English only,488405
Newfoundland and Labrador,Mother tongue,   French only,1885
Newfoundland and Labrador,Mother tongue,   English and French,295
Newfoundland and Labrador,Mother tongue,   Other language(s),10020
Newfoundland and Labrador,Knowledge of official languages,Total population,500610
Newfoundland and Labrador,Knowledge of official languages,   English only,475985
Newfoundland and Labrador,Knowledge of official languages,   French only,90
Newfoundland and Labrador,Knowledge of official languages,   English and French,23675
Newfoundland and Labrador,Knowledge of official languages,   Neither English nor French,850
Newfoundland and Labrador,Language spoken most often at home,Total population,500605
Newfoundland and Labrador,Language spoken most often at home,   English,494345
Newfoundland and Labrador,Language spoken most often at home,   French,650
Newfoundland and Labrador,Language spoken most often at home,   Non-official language,4905
Newfoundland and Labrador,Language spoken most often at home,   English and French,180
Newfoundland and Labrador,Language spoken most often at home,   English and non-official language,525
Newfoundland and Labrador,Language spoken most often at home,   French and non-official language,0
Newfoundland and Labrador,Language spoken most often at home,"   English, French and non-official language",0
Newfoundland and Labrador,Immigrant status and period of immigration,Total population,500605
Newfoundland and Labrador,Immigrant status and period of immigration,   Non-immigrants,490855
Newfoundland and Labrador,Immigrant status and period of immigration,   Immigrants,8380
Newfoundland and Labrador,Immigrant status and period of immigration,      Before 1991,5385
Newfoundland and Labrador,Immigrant status and period of immigration,      1991 to 2000,1550
Newfoundland and Labrador,Immigrant status and period of immigration,      2001 to 2006,1440
Newfoundland and Labrador,Immigrant status and period of immigration,   Non-permanent residents,1370
Newfoundland and Labrador,Citizenship,Total population,500610
Newfoundland and Labrador,Citizenship,   Canadian citizens,496705
Newfoundland and Labrador,Citizenship,      Canadian citizens under age 18,98585
Newfoundland and Labrador,Citizenship,      Canadian citizens age 18 and over,398115
Newfoundland and Labrador,Citizenship,   Not Canadian citizens,3900
Newfoundland and Labrador,Generation status,Total population 15 years and over,422385
Newfoundland and Labrador,Generation status,   1st generation,9160
Newfoundland and Labrador,Generation status,   2nd generation,9125
Newfoundland and Labrador,Generation status,   3rd generation or more,404100
Newfoundland and Labrador,Mobility status - Place of residence 1 year ago,Total population 1 year and over,496200
Newfoundland and Labrador,Mobility status - Place of residence 1 year ago,   Lived at the same address 1 year ago,443345
Newfoundland and Labrador,Mobility status - Place of residence 1 year ago,"   Lived within the same province or territory 1 year ago, but changed addresses within the same census subdivision (municipality)",27640
Newfoundland and Labrador,Mobility status - Place of residence 1 year ago,"   Lived within the same province or territory 1 year ago, but changed addresses from another census subdivision (municipality) within the same province or territory",14530
Newfoundland and Labrador,Mobility status - Place of residence 1 year ago,   Lived in a different province or territory 1 year ago,9460
Newfoundland and Labrador,Mobility status - Place of residence 1 year ago,   Lived in a different country 1 year ago,1225
Newfoundland and Labrador,Mobility status - Place of residence 5 years ago,Total population 5 years and over,477800
Newfoundland and Labrador,Mobility status - Place of residence 5 years ago,   Lived at the same address 5 years ago,344705
Newfoundland and Labrador,Mobility status - Place of residence 5 years ago,"   Lived within the same province or territory 5 years ago, but changed addresses within the same census subdivision (municipality)",66360
Newfoundland and Labrador,Mobility status - Place of residence 5 years ago,"   Lived within the same province or territory 5 years ago, but changed addresses from another census subdivision (municipality) within the same province or territory",37805
Newfoundland and Labrador,Mobility status - Place of residence 5 years ago,   Lived in a different province or territory 5 years ago,25780
Newfoundland and Labrador,Mobility status - Place of residence 5 years ago,   Lived in a different country 5 years ago,3140
Newfoundland and Labrador,Aboriginal population,Total Aboriginal and non-Aboriginal identity population,500605
Newfoundland and Labrador,Aboriginal population,   Aboriginal identity population,23450
Newfoundland and Labrador,Aboriginal population,   Non-Aboriginal identity population,477155
Newfoundland and Labrador,Educational attainment,Total population 15 years and over,422385
Newfoundland and Labrador,Educational attainment,"   No certificate, diploma or degree",141575
Newfoundland and Labrador,Educational attainment,   High school certificate or equivalent,93330
Newfoundland and Labrador,Educational attainment,   Apprenticeship or trades certificate or diploma,51380
