GEO_NAME,CHARACTERISTIC_NAME,Total
Canada,          Wolastoqewi (Malecite),820
Canada,        Ojibway-Potawatomi languages,42865
Canada,          Anicinabemowin (Algonquin),1950
Canada,          Oji-Cree,15305
Canada,          Ojibway languages,26160
Canada,            Anishinaabemowin (Chippewa),2035
Canada,            Daawaamwin (Odawa),215
Canada,            Saulteau (Western Ojibway),3625
Canada,"            Ojibway, n.o.s.",20720
Canada,"        Algonquian languages, n.i.e.",165
Canada,      Athabaskan languages,20390
Canada,        Northern Athabaskan languages,20135
Canada,          Dakelh (Carrier),1550
Canada,          Dane-zaa (Beaver),270
Canada,"          Dene, n.o.s.",11560
Canada,          Gwich'in,295
Canada,          Slavey-Hare languages,2330
Canada,            Deh Gah Ghotie Zhatie (South Slavey),775
Canada,            Satuotine Yati (North Slavey),415
Canada,"            Slavey, n.o.s.",1210
Canada,          Tahltan languages,480
Canada,            Kaska (Nahani),245
Canada,            Tahltan,235
Canada,          Tlicho (Dogrib),2140
Canada,          Tse'khene (Sekani),135
Canada,          Tsilhqot'in (Chilcotin),870
Canada,          Tsuu T'ina (Sarsi),175
Canada,          Tutchone languages,320
Canada,            Northern Tutchone,135
Canada,            Southern Tutchone,140
Canada,"            Tutchone, n.o.s.",50
Canada,          Wetsuwet'en-Babine,290
Canada,        Tlingit,150
Canada,"        Athabaskan languages, n.i.e.",110
Canada,      Haida,245
Canada,      Inuktut (Inuit) languages,42795
Canada,        Inuinnaqtun (Inuvialuktun),1140
Canada,          Inuinnaqtun,795
Canada,          Inuvialuktun,350
Canada,        Inuktitut,41680
Canada,"        Inuktut (Inuit) languages, n.i.e.",70
Canada,      Iroquoian languages,2055
Canada,        Cayuga,230
Canada,        Mohawk,1605
Canada,        Oneida,210
Canada,"        Iroquoian languages, n.i.e.",65
Canada,      Ktunaxa (Kutenai),215
Canada,      Michif,1905
Canada,      Salish languages,5305
Canada,        Halkomelem,1415
Canada,        Lillooet,600
Canada,        Ntlakapamux (Thompson),510
Canada,        Secwepemctsin (Shuswap),1090
Canada,        Squamish,350
Canada,        Straits,325
Canada,        Syilx (Okanagan),705
Canada,"        Salish languages, n.i.e.",360
Canada,      Siouan languages,2965
Canada,        Assiniboine,370
Canada,        Dakota,1530
Canada,        Stoney,925
Canada,"        Siouan languages, n.i.e.",325
Canada,      Tsimshian languages,2665
Canada,        Gitxsan (Gitksan),1135
Canada,        Nisga'a,1110
Canada,        Tsimshian,465
Canada,      Wakashan languages,2205
Canada,        Haisla,295
Canada,        Heiltsuk,335
Canada,        Kwak'wala (Kwakiutl),820
Canada,        Nuu-chah-nulth (Nootka),700
Canada,"        Wakashan languages, n.i.e.",55
Canada,"      Indigenous languages, n.i.e.",645
Canada,"      Indigenous languages, n.o.s.",855
Canada,    Non-Indigenous languages,10485595
Canada,      Afro-Asiatic languages,1100035
Canada,        Berber languages,42835
Canada,          Kabyle,37415
Canada,          Tamazight,4735
Canada,"          Berber languages, n.i.e.",1330
Canada,        Chadic languages,7090
Canada,          Hausa,5080
Canada,          Mina,2010
Canada,        Coptic,3690
Canada,        Cushitic languages,71930
Canada,          Bilen,2745
Canada,          Oromo,9635
Canada,          Somali,59005
Canada,"          Cushitic languages, n.i.e.",1400
Canada,        Semitic languages,1015485
Canada,          Amharic,48305
Canada,          Arabic,838045
Canada,          Aramaic languages,39655
Canada,            Assyrian Neo-Aramaic,23865
Canada,            Chaldean Neo-Aramaic,13285
Canada,"            Aramaic, n.o.s.",3195
Canada,          Harari,2000
Canada,          Hebrew,83205
Canada,          Maltese,6535
Canada,          Tigrigna,45970
Canada,"          Semitic languages, n.i.e.",1760
Canada,      Austro-Asiatic languages,260030
Canada,        Khmer (Cambodian),28390
Canada,        Vietnamese,232800
Canada,"        Austro-Asiatic languages, n.i.e",910
Canada,      Austronesian languages,793275
Canada,        Bikol,4260
Canada,"        Bisaya, n.o.s.",10990
Canada,        Cebuano,33045
Canada,        Fijian,1765
Canada,        Hiligaynon,16385
Canada,        Ilocano,61680
Canada,        Indonesian,19815
Canada,        Kankanaey,1950
Canada,        Kinaray-a,860
Canada,        Malagasy languages,3885
Canada,          Merina,2355
Canada,"          Malagasy, n.o.s.",1565
Canada,        Malay,10770
Canada,"        Pampangan (Kapampangan, Pampango)",10555
Canada,        Pangasinan,4455
Canada,"        Tagalog (Pilipino, Filipino)",737565
Canada,        Waray-Waray,4520
Canada,"        Austronesian languages, n.i.e.",20140
Canada,      Creole languages,184840
Canada,        Haitian Creole,134895
Canada,        Jamaican English Creole,4875
Canada,        Krio,1955
Canada,        Morisyen,15345
Canada,        Sango,1535
Canada,"        Creole, n.o.s.",31220
Canada,"        Creole languages, n.i.e.",9585
Canada,      Dravidian languages,359485
Canada,        Kannada,18420
Canada,        Malayalam,77910
Canada,        Tamil,237890
Canada,        Telugu,54685
Canada,        Tulu,1765
Canada,"        Dravidian languages, n.i.e.",970
Canada,      Georgian,3015
Canada,      Hmong-Mien languages,720
Canada,      Indo-European languages,5849775
Canada,        Albanian,38345
Canada,        Armenian,44500
Canada,        Balto-Slavic languages,820305
Canada,        Baltic languages,13890
Canada,            Latvian,6020
Canada,            Lithuanian,7895
Canada,          Slavic languages,809985
Canada,            Belarusian,2825
Canada,            Bulgarian,24210
Canada,            Czech,28625
Canada,            Macedonian,23015
Canada,            Polish,204460
Canada,            Russian,309235
Canada,            Rusyn,680
Canada,            Serbo-Croatian,155775
Canada,              Bosnian,25380
Canada,              Croatian,73845
Canada,              Serbian,83735
Canada,"              Serbo-Croatian, n.i.e.",3085
Canada,            Slovak,20905
Canada,            Slovene (Slovenian),10650
Canada,            Ukrainian,131655
Canada,"            Slavic languages, n.i.e.",770
Canada,        Celtic languages,10485
Canada,          Irish,5360
Canada,          Scottish Gaelic,2170
Canada,          Welsh,2170
Canada,"          Celtic languages, n.i.e.",910
Canada,        Germanic languages,658705
Canada,          Frisian,2835
Canada,          High German languages,453995
Canada,            German,419195
Canada,            Pennsylvania German,10565
Canada,            Swiss German,10465
Canada,            Yiddish,20155
Canada,          Low Saxon-Low Franconian languages,191840
Canada,            Afrikaans,29670
Canada,            Dutch,107985
Canada,"            Low German, n.o.s.",10555
Canada,            Low Saxon,1310
Canada,            Plautdietsch,41165
Canada,            Vlaams (Flemish),3985
Canada,          Scandinavian languages,37500
Canada,            Danish,14700
Canada,            Icelandic,1475
Canada,            Norwegian,8860
Canada,            Swedish,14620
Canada,"          Germanic languages, n.i.e.",1275
Canada,        Greek,145060
Canada,        Indo-Iranian languages,2263825
Canada,          Indo-Aryan languages,1918570
Canada,            Assamese,1155
Canada,            Bengali,120605
Canada,            Gujarati,209415
Canada,            Hindi,761425
Canada,            Kacchi,15085
Canada,            Kashmiri,1830
Canada,            Konkani,8950
Canada,            Marathi,35230
Canada,            Nepali,30660
Canada,            Oriya languages,3235
Canada,              Odia,1710
Canada,"              Oriya, n.o.s.",1550
Canada,            Punjabi (Panjabi),942170
Canada,            Rohingya,765
Canada,            Sindhi,8385
Canada,            Sinhala (Sinhalese),33050
Canada,            Urdu,414870
Canada,"            Indo-Aryan languages, n.i.e.",11320
Canada,          Iranian languages,370520
Canada,            Baluchi,985
Canada,            Kurdish,24035
Canada,            Parsi,1000
Canada,            Pashto,31695
Canada,            Persian languages,326285
Canada,              Dari,78220
Canada,              Iranian Persian,222160
Canada,"              Persian (Farsi), n.o.s.",30345
Canada,"            Iranian languages, n.i.e.",1830
Canada,"          Indo-Iranian languages, n.i.e.",2135
Canada,        Italic (Romance) languages,2054885
Canada,          Catalan,2855
Canada,          Italian,547655
Canada,          Portuguese,336865
Canada,          Romanian,116520
Canada,          Spanish,1171450
Canada,"          Italic (Romance) languages, n.i.e.",4890
Canada,"        Indo-European languages, n.i.e.",1965
Canada,      Japanese,98070
Canada,      Korean,203885
Canada,      Mongolian,2545
Canada,      Niger-Congo languages,267520
Canada,        Akan (Twi),26240
Canada,        Bamanankan,4950
Canada,        Edo,4945
Canada,        3w3,4645
Canada,"        Fulah (Pular, Pulaar, Fulfulde)",7840
Canada,        Ga,3255
Canada,        Ganda,4650
Canada,        Gikuyu,1850
Canada,        Igbo,18365
Canada,        Kinyarwanda (Rwanda),13515
Canada,        Lingala,25720
Canada,        Luba-Kasai,2695
Canada,        M3or3,2085
Canada,        Mwani,1080
Canada,        Ndebele,2425
Canada,        Rundi (Kirundi),14825
Canada,        Shona,7280
Canada,        Soninke,1010
Canada,        Sotho-Tswana languages,1305
Canada,        Swahili,57295
Canada,        Wojenaka,2820
Canada,        Wolof,12940
Canada,        Yoruba,50935
Canada,"        Niger-Congo languages, n.i.e.",43625
Canada,      Nilo-Saharan languages,11090
Canada,        Dinka,2815
Canada,        Nuer,1490
Canada,"        Nilo-Saharan languages, n.i.e.",6815
Canada,"        African, n.o.s.",2760
Canada,      Sign languages,49535
Canada,        American Sign Language,37620
Canada,        Quebec Sign Language,6195
Canada,"        Sign languages, n.i.e.",7450
Canada,      Sino-Tibetan languages,1550930
Canada,        Chinese languages,1528860
Canada,          Hakka,14830
Canada,          Mandarin,987300
Canada,          Min Dong,1825
Canada,"          Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",51755
Canada,          Wu (Shanghainese),13660
Canada,          Yue (Cantonese),724925
Canada,"          Chinese, n.o.s.",11720
Canada,"          Chinese languages, n.i.e.",1185
Canada,        Tibeto-Burman languages,22300
Canada,          Burmese,5935
Canada,          Kuki-Chin languages,1140
Canada,          Karenic languages,5705
Canada,            S'gaw Karen,5030
Canada,"            Karenic languages, n.i.e.",845
Canada,          Tibetan,9160
Canada,"          Tibeto-Burman languages, n.i.e.",1940
Canada,"        Sino-Tibetan languages, n.i.e.",1220
Canada,      Tai-Kadai languages,33705
Canada,        Lao,17630
Canada,        Thai,18575
Canada,"        Tai-Kadai languages, n.i.e.",800
Canada,      Turkic languages,91375
Canada,        Azerbaijani,9875
Canada,        Kazakh,1415
Canada,        Turkish,78500
Canada,        Uyghur,1660
Canada,        Uzbek,3290
Canada,"        Turkic languages, n.i.e.",2150
Canada,      Uralic languages,85055
Canada,        Estonian,5315
Canada,        Finnish,15325
Canada,        Hungarian,64625
Canada,"      Other languages, n.i.e.",5545
Canada,Total - Indigenous identity for the population in private households - 25% sample data,36328480
Canada,  Indigenous identity,1807250
Canada,    Single Indigenous responses,1743165
Canada,      First Nations (North American Indian),1048405
Canada,      M3tis,624220
Canada,      Inuk3(Inuit),70540
Canada,    Multiple Indigenous responses,28855
Canada,    Indigenous responses not included elsewhere,35225
Canada,  Non-Indigenous identity,34521230
Canada,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,36328480
Canada,  Registered or Treaty Indian,831720
Canada,  Not a Registered or Treaty Indian,35496755
Canada,Total - Private households by tenure - 25% sample data,14978940
Canada,  Owner,9955975
Canada,  Renter,4953840
Canada,"  Dwelling provided by the local government, First Nation or Indian band",69130
Canada,Total - Occupied private dwellings by condominium status - 25% sample data,14978940
Canada,  Condominium,2248280
Canada,  Not condominium,12730660
Canada,Total - Occupied private dwellings by number of bedrooms - 25% sample data,14978940
Canada,  No bedrooms,132060
Canada,  1 bedroom,2124485
Canada,  2 bedrooms,3829965
Canada,  3 bedrooms,4982900
Canada,  4 or more bedrooms,3909525
Canada,Total - Occupied private dwellings by number of rooms - 25% sample data,14978940
Canada,  1 to 4 rooms,4662125
Canada,  5 rooms,2323910
Canada,  6 rooms,2037185
Canada,  7 rooms,1796855
Canada,  8 or more rooms,4158855
Canada,Average number of rooms per dwelling,6.1
Canada,Total - Private households by number of persons per room - 25% sample data,14978940
Canada,  One person or fewer per room,14625230
Canada,  More than one person per room,353715
Canada,Total - Private households by housing suitability - 25% sample data,14978940
Canada,  Suitable,14173290
Canada,  Not suitable,805650
Canada,Total - Occupied private dwellings by period of construction - 25% sample data,14978940
Canada,  1960 or before,3027045
Canada,  1961 to 1980,4171840
Canada,  1981 to 1990,1982515
Canada,  1991 to 2000,1805985
Canada,  2001 to 2005,959860
Canada,  2006 to 2010,1034925
Canada,  2011 to 2015,967540
Canada,  2016 to 2021,1029220
Canada,Total - Occupied private dwellings by dwelling condition - 25% sample data,14978940
Canada,  Only regular maintenance and minor repairs needed,14059395
Canada,  Major repairs needed,919545
Canada,Total - Private households by number of household maintainers - 25% sample data,14978940
Canada,  One-maintainer household,7659700
Canada,  Two-maintainer household,6631755
Canada,  Three-or-more-maintainer household,687485
Canada,Total - Private households by age of primary household maintainers - 25% sample data,14978940
Canada,  15 to 24 years,424695
Canada,  25 to 34 years,2077895
Canada,  35 to 44 years,2600000
Canada,  45 to 54 years,2646945
Canada,  55 to 64 years,3046560
Canada,  65 to 74 years,2432140
Canada,  75 to 84 years,1292805
Canada,  85 years and over,457900
Canada,"Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",14687350
Canada,  Spending less than 30% of income on shelter costs,11612640
Canada,  Spending 30% or more of income on shelter costs,3074715
Canada,    30% to less than 100%,2742920
Canada,Total - Occupied private dwellings by housing indicators - 25% sample data,14978940
Canada,  Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',4379420
Canada,    Spending 30% or more of income on shelter costs only,2728995
Canada,    Not suitable only,595110
Canada,    Major repairs needed only,645465
Canada,    'Spending 30% or more of income on shelter costs' and 'not suitable',135770
Canada,    'Spending 30% or more of income on shelter costs' and 'major repairs needed',199355
Canada,    'Not suitable' and 'major repairs needed',64095
Canada,    'Spending 30% or more of income on shelter costs' and 'not suitable' and 'major repairs needed',10630
Canada,  Acceptable housing,10599520
Canada,"Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data",14355555
Canada,  In core need,1451025
Canada,  Not in core need,12904530
Canada,"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",9807720
Canada,  % of owner households with a mortgage,60
Canada,  % of owner households spending 30% or more of its income on shelter costs,14.8
Canada,  % in core housing need,5.3
Canada,  Median monthly shelter costs for owned dwellings ($),1240
Canada,  Average monthly shelter costs for owned dwellings ($),1498
Canada,  Median value of dwellings ($),472000
Canada,  Average value of dwellings ($),618500
Canada,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",4936850
Canada,  % of tenant households in subsidized housing,11.7
Canada,  % of tenant households spending 30% or more of its income on shelter costs,33.2
Canada,  % in core housing need,20
Canada,  Median monthly shelter costs for rented dwellings ($),1070
Canada,  Average monthly shelter costs for rented dwellings ($),1209
Canada,"Total - Households living in a dwelling provided by the local government, First Nation or Indian band in non-farm private dwellings - 25% sample data",69130
Canada,"  % of households living in a dwelling provided by the local government, First Nation or Indian band spending more than 30% on shelter costs",5.9
Canada,"  Median monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",284
Canada,"  Average monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",327
Canada,Total - Indigenous ancestry for the population in private households - 25% sample data,36328475
Canada,  Indigenous ancestry (only),985200
Canada,    Single Indigenous ancestry (only),963705
Canada,      First Nations (North American Indian) single ancestry,763230
Canada,      M3tis single ancestry,146010
Canada,      Inuit single ancestry,54475
Canada,    Multiple Indigenous ancestries (only),21490
Canada,      First Nations (North American Indian) and M3tis ancestry only,17665
Canada,      First Nations (North American Indian) and Inuit ancestry only,2430
Canada,      M3tis and Inuit ancestry only,1070
Canada,      First Nations (North American Indian) and M3tis and Inuit ancestry only,320
Canada,  Indigenous and non-Indigenous ancestries,1219285
Canada,    Single Indigenous and non-Indigenous ancestries,1183350
Canada,      First Nations (North American Indian) and non-Indigenous ancestry only,801630
Canada,      M3tis and non-Indigenous ancestry only,362130
Canada,      Inuit and non-Indigenous ancestry only,19595
Canada,    Multiple Indigenous and non-Indigenous ancestries,35930
Canada,      First Nations (North American Indian) and M3tis and non-Indigenous ancestry only,31815
Canada,      First Nations (North American Indian) and Inuit and non-Indigenous ancestry only,2785
Canada,      M3tis and Inuit and non-Indigenous ancestry only,1005
Canada,      First Nations (North American Indian) and M3tis and Inuit and non-Indigenous ancestry only,330
Canada,  Non-Indigenous ancestry only,34124000
Canada,Total - Citizenship for the population in private households - 25% sample data,36328475
Canada,  Canadian citizens,33143225
Canada,    Canadian citizens aged under 18,6784875
Canada,    Canadian citizens aged 18 and over,26358355
Canada,  Not Canadian citizens,3185250
Canada,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,36328475
Canada,  Non-immigrants,27042120
Canada,  Immigrants,8361505
Canada,    Before 1980,1540610
Canada,    1980 to 1990,924320
Canada,    1991 to 2000,1511475
Canada,    2001 to 2010,1930525
Canada,    2011 to 2021,2454570
Canada,      2011 to 2015,1126330
Canada,      2016 to 2021,1328240
Canada,  Non-permanent residents,924850
Canada,Total - Age at immigration for the immigrant population in private households - 25% sample data,8361505
Canada,  Under 5 years,748265
Canada,  5 to 14 years,1438440
Canada,  15 to 24 years,1594290
Canada,  25 to 44 years,3783335
Canada,  45 years and over,797180
Canada,Total - Place of birth for the immigrant population in private households - 25% sample data,8361505
Canada,  Americas,1203180
Canada,    Brazil,48450
Canada,    Colombia,80570
Canada,    El Salvador,49450
Canada,    Guyana,85530
Canada,    Haiti,99945
Canada,    Jamaica,145360
Canada,    Mexico,90585
Canada,    Peru,31420
Canada,    Trinidad and Tobago,65035
Canada,    United States of America,256090
Canada,    Other places of birth in Americas,250760
Canada,  Europe,1967620
Canada,    Bosnia and Herzegovina,35925
Canada,    Croatia,36675
Canada,    France,121525
Canada,    Germany,126470
Canada,    Greece,54715
Canada,    Hungary,31050
Canada,    Italy,204065
Canada,    Netherlands,75830
Canada,    Poland,135030
Canada,    Portugal,128795
Canada,    Romania,86770
Canada,    Russian Federation,81840
Canada,    Serbia,31925
Canada,    Ukraine,81135
Canada,    United Kingdom,464135
Canada,    Other places of birth in Europe,271725
Canada,  Africa,821735
Canada,    Algeria,79660
Canada,"    Congo, Democratic Republic of the",33110
Canada,    Egypt,73710
Canada,    Eritrea,31385
Canada,    Ethiopia,41715
Canada,    Morocco,81775
Canada,    Nigeria,81290
Canada,    Somalia,32500
Canada,"    South Africa, Republic of",51590
Canada,    Other places of birth in Africa,314995
Canada,  Asia,4307000
Canada,    Afghanistan,62450
Canada,    Iran,182940
Canada,    Iraq,84130
Canada,    Lebanon,95725
Canada,    Syria,97590
Canada,    Turkey,35270
Canada,    China,715835
Canada,    Hong Kong,213855
Canada,"    Korea, South",138355
Canada,    Taiwan,65365
Canada,    Philippines,719580
Canada,    Viet Nam,182095
Canada,    Bangladesh,70090
Canada,    India,898050
Canada,    Pakistan,234105
Canada,    Sri Lanka,136240
Canada,    Other places of birth in Asia,375340
Canada,  Oceania and other places of birth,61965
Canada,Total - Place of birth for the recent immigrant population in private households - 25% sample data,1328240
Canada,  Americas,154490
Canada,    Brazil,19895
Canada,    Colombia,11455
Canada,    Haiti,10550
Canada,    Jamaica,15155
Canada,    Mexico,17150
Canada,    United States of America,39875
Canada,    Venezuela,7060
Canada,    Other places of birth in Americas,33350
Canada,  Europe,134425
Canada,    France,27175
Canada,    Germany,5365
Canada,    Ireland,6355
Canada,    Italy,4240
Canada,    Russian Federation,10905
Canada,    Ukraine,14515
Canada,    United Kingdom,22755
Canada,    Other places of birth in Europe,43120
Canada,  Africa,206965
Canada,    Algeria,15745
Canada,    Burundi,4935
Canada,    Cameroon,11795
Canada,"    Congo, Democratic Republic of the",8915
Canada,    C3te d'Ivoire,7915
Canada,    Egypt,12120
Canada,    Eritrea,16330
Canada,    Ethiopia,9385
Canada,    Morocco,12835
Canada,    Nigeria,40360
Canada,    Somalia,6315
Canada,"    South Africa, Republic of",8510
Canada,    Sudan,4690
Canada,    Tunisia,8155
Canada,    Other places of birth in Africa,38960
Canada,  Asia,823205
Canada,    Afghanistan,12730
Canada,    Bangladesh,13185
Canada,    China,118035
Canada,    Hong Kong,6495
Canada,    India,246995
Canada,    Iran,25650
Canada,    Iraq,17715
Canada,    Israel,4850
Canada,    Japan,4445
Canada,    Jordan,4635
Canada,"    Korea, South",20985
Canada,    Lebanon,9980
Canada,    Nepal,4890
Canada,    Pakistan,36255
Canada,    Philippines,151490
Canada,    Saudi Arabia,9560
Canada,    Sri Lanka,8480
Canada,    Syria,63130
Canada,    Turkey,10150
Canada,    United Arab Emirates,8405
Canada,    Viet Nam,14725
Canada,    Other places of birth in Asia,30410
Canada,  Oceania and other,9160
Canada,    Australia,6535
Canada,    Other places of birth,2625
Canada,Total - Generation status for the population in private households - 25% sample data,36328480
Canada,  First generation,9606595
Canada,  Second generation,6393310
Canada,  Third generation or more,20328565
Canada,Total - Admission category and applicant type for the immigrant population in private households who were admitted between 1980 and 2021 - 25% sample data,6820895
Canada,  Economic immigrants,3673705
Canada,    Principal applicants,1556675
Canada,    Secondary applicants,2117030
Canada,  Immigrants sponsored by family,2016010
Canada,  Refugees,1039275
Canada,  Other immigrants,91900
Canada,Total - Pre-admission experience for the immigrant population in private households who were admitted between 1980 and 2021 - 25% sample data,6820895
Canada,  Asylum claim before admission,416105
Canada,  Work permits only before admission,705405
Canada,  Study permits only before admission,183250
Canada,  Work and study permits before admission,377130
Canada,  Other permits before admission,39540
Canada,  No pre-admission experience,5099470
Canada,Total - Visible minority for the population in private households - 25% sample data,36328480
Canada,  Total visible minority population,9639205
Canada,    South Asian,2571400
Canada,    Chinese,1715770
Canada,    Black,1547870
Canada,    Filipino,957355
Canada,    Arab,694015
Canada,    Latin American,580235
Canada,    Southeast Asian,390340
Canada,    West Asian,360495
Canada,    Korean,218140
Canada,    Japanese,98890
Canada,"    Visible minority, n.i.e.",172885
Canada,    Multiple visible minorities,331805
Canada,  Not a visible minority,26689275
Canada,Total - Ethnic or cultural origin for the population in private households - 25% sample data,36328475
Canada,  Canadian,5677205
Canada,  English,5322830
Canada,  Irish,4413120
