Prov_Name,Topic,Characteristic,Total
Canada,Family characteristics,   Size of census family: 3 persons,2048560
Canada,Family characteristics,   Size of census family: 4 persons,1870305
Canada,Family characteristics,   Size of census family: 5 or more persons,791130
Canada,Family characteristics,Total number of census families in private households,9389700
Canada,Family characteristics,   Total couple families by family structure and number of children,7861855
Canada,Family characteristics,      Married couples,6293950
Canada,Family characteristics,         Without children at home,2891215
Canada,Family characteristics,         With children at home,3402735
Canada,Family characteristics,            1 child,1288775
Canada,Family characteristics,            2 children,1475220
Canada,Family characteristics,            3 or more children,638740
Canada,Family characteristics,      Common-law couples,1567910
Canada,Family characteristics,         Without children at home,861350
Canada,Family characteristics,         With children at home,706555
Canada,Family characteristics,            1 child,321865
Canada,Family characteristics,            2 children,273620
Canada,Family characteristics,            3 or more children,111075
Canada,Family characteristics,   Total lone-parent families by sex of parent and number of children,1527845
Canada,Family characteristics,      Female parent,1200295
Canada,Family characteristics,         1 child,710225
Canada,Family characteristics,         2 children,352150
Canada,Family characteristics,         3 or more children,137920
Canada,Family characteristics,      Male parent,327545
Canada,Family characteristics,         1 child,216910
Canada,Family characteristics,         2 children,85770
Canada,Family characteristics,         3 or more children,24860
Canada,Family characteristics,Total children in census families in private households,9971320
Canada,Family characteristics,   Under six years of age,2217355
Canada,Family characteristics,   6 to 14 years,3322875
Canada,Family characteristics,   15 to 17 years,1240565
Canada,Family characteristics,   18 to 24 years,2062245
Canada,Family characteristics,   25 years and over,1128280
Canada,Family characteristics,Average number of children at home per census family,1.1
Canada,Household and dwelling characteristics,Total number of persons in private households,32856980
Canada,Household and dwelling characteristics,   Number of persons not in census families,5634105
Canada,Household and dwelling characteristics,      Living with relatives,735685
Canada,Household and dwelling characteristics,      Living with non-relatives only,1225115
Canada,Household and dwelling characteristics,      Living alone,3673310
Canada,Household and dwelling characteristics,   Number of census family persons,27222870
Canada,Household and dwelling characteristics,Average number of persons per census family,2.9
Canada,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,4551900
Canada,Household and dwelling characteristics,   Number of persons not in census families aged 65 years and over,1527630
Canada,Household and dwelling characteristics,      Living with relatives,224755
Canada,Household and dwelling characteristics,      Living with non-relatives only,87185
Canada,Household and dwelling characteristics,      Living alone,1215695
Canada,Household and dwelling characteristics,   Number of census family persons aged 65 years and over,3024275
Canada,Household and dwelling characteristics,Total number of private households by household type,13320615
Canada,Household and dwelling characteristics,   Census-family households,9103965
Canada,Household and dwelling characteristics,      One-family-only households,8263885
Canada,Household and dwelling characteristics,         Couple-family households,7070680
Canada,Household and dwelling characteristics,            Without children,3394480
Canada,Household and dwelling characteristics,            With children,3676200
Canada,Household and dwelling characteristics,         Lone-parent-family households,1193210
Canada,Household and dwelling characteristics,      Other family households,840075
Canada,Household and dwelling characteristics,         One-family households with persons not in a census family,572015
Canada,Household and dwelling characteristics,            Couple-family households,389775
Canada,Household and dwelling characteristics,               Without children,144240
Canada,Household and dwelling characteristics,               With children,245535
Canada,Household and dwelling characteristics,            Lone-parent-family households,182240
Canada,Household and dwelling characteristics,         Two-or-more-family households,268065
Canada,Household and dwelling characteristics,   Non-census-family households,4216650
Canada,Household and dwelling characteristics,      One-person households,3673305
Canada,Household and dwelling characteristics,      Two-or-more-person households,543345
Canada,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,13320615
Canada,Household and dwelling characteristics,   Single-detached house,7329150
Canada,Household and dwelling characteristics,"   Apartment, building that has five or more storeys",1234770
Canada,Household and dwelling characteristics,   Movable dwelling,183510
Canada,Household and dwelling characteristics,   Other dwelling,4573185
Canada,Household and dwelling characteristics,      Semi-detached house,646245
Canada,Household and dwelling characteristics,      Row house,791600
Canada,Household and dwelling characteristics,"      Apartment, duplex",704485
Canada,Household and dwelling characteristics,"      Apartment, building that has fewer than five storeys",2397550
Canada,Household and dwelling characteristics,      Other single-attached house,33310
Canada,Household and dwelling characteristics,Total number of private households by household size,13320615
Canada,Household and dwelling characteristics,   1 person,3673310
Canada,Household and dwelling characteristics,   2 persons,4544820
Canada,Household and dwelling characteristics,   3 persons,2081900
Canada,Household and dwelling characteristics,   4 persons,1903300
Canada,Household and dwelling characteristics,   5 persons,724405
Canada,Household and dwelling characteristics,   6 or more persons,392885
Canada,Household and dwelling characteristics,Number of persons in private households,32856975
Canada,Household and dwelling characteristics,Average number of persons in private households,2.5
Canada,Detailed mother tongue,Detailed mother tongue - Total population excluding institutional residents,33121175
Canada,Detailed mother tongue,``Single responses`?32481635,
Canada,Detailed mother tongue,````English`?18858980,
Canada,Detailed mother tongue,````French`?7054975,
Canada,Detailed mother tongue,````Non-official languages`?6567680,
Canada,Detailed mother tongue,`````?Selected Aboriginal languages,177360
Canada,Detailed mother tongue,````````Atikamekw```?5820,
Canada,Detailed mother tongue,"```````?Cree, n.o.s.`?,77900
Canada,Detailed mother tongue,```````?Dene`?11215
Canada,Detailed mother tongue,````````Innu/Montagnais`?10785
Canada,Detailed mother tongue,````````Inuktitut`?33500
Canada,Detailed mother tongue,````````Mi'kmaq`?7635
Canada,Detailed mother tongue,````````Ojibway`?17625
Canada,Detailed mother tongue,```````?Oji-Cree`?9835
Canada,Detailed mother tongue,```````?Stoney`?3050
Canada,Detailed mother tongue,      Selected non-Aboriginal languages,6312435
Canada,Detailed mother tongue,""```````?African languages, n.i.e.`?,9125
Canada,Detailed mother tongue,```````?Afrikaans`?8770
Canada,Detailed mother tongue,```````?Akan (Twi)`?12680
Canada,Detailed mother tongue,```````?Albanian`?23820
Canada,Detailed mother tongue,```````?Amharic`?18020
Canada,Detailed mother tongue,```````?Arabic`?327870
Canada,Detailed mother tongue,```````?Armenian`?29795
Canada,Detailed mother tongue,""```````?Bantu languages, n.i.e.`?,7150
Canada,Detailed mother tongue,```````?Bengali`?59370
Canada,Detailed mother tongue,```````?Berber languages (Kabyle)`?5855
Canada,Detailed mother tongue,```````?Bisayan languages`?16240
Canada,Detailed mother tongue,```````?Bosnian`?11685
Canada,Detailed mother tongue,```````?Bulgarian`?19050
Canada,Detailed mother tongue,```````?Burmese`?2985
Canada,Detailed mother tongue,```````?Cantonese`?372460
Canada,Detailed mother tongue,""```````?Chinese, n.o.s.`?,425210
Canada,Detailed mother tongue,```````?Creoles`?61725
Canada,Detailed mother tongue,```````?Croatian`?49730
Canada,Detailed mother tongue,```````?Czech`?23585
Canada,Detailed mother tongue,```````?Danish`?14145
Canada,Detailed mother tongue,```````?Dutch`?110490
Canada,Detailed mother tongue,```````?Estonian`?6385
Canada,Detailed mother tongue,```````?Finnish`?17415
Canada,Detailed mother tongue,```````?Flemish`?4690
Canada,Detailed mother tongue,````````Fukien`?5925
Canada,Detailed mother tongue,```````?German`?409200
Canada,Detailed mother tongue,```````?Greek`?108925
Canada,Detailed mother tongue,```````?Gujarati`?91450
Canada,Detailed mother tongue,```````?Hakka`?5115
Canada,Detailed mother tongue,```````?Hebrew`?18450
Canada,Detailed mother tongue,```````?Hindi`?90545
Canada,Detailed mother tongue,```````?Hungarian`?67920
Canada,Detailed mother tongue,```````?Ilocano`?17915
Canada,Detailed mother tongue,""```````?Indo-Iranian languages, n.i.e.`?,5255
Canada,Detailed mother tongue,```````?Italian`?407485
Canada,Detailed mother tongue,```````?Japanese`?39985
Canada,Detailed mother tongue,```````?Khmer (Cambodian)`?19440
Canada,Detailed mother tongue,```````?Korean`?137925
Canada,Detailed mother tongue,```````?Kurdish`?9805
Canada,Detailed mother tongue,```````?Lao`?12970
Canada,Detailed mother tongue,```````?Latvian`?6200
Canada,Detailed mother tongue,```````?Lingala`?3085
Canada,Detailed mother tongue,```````?Lithuanian`?7245
Canada,Detailed mother tongue,```````?Macedonian`?17245
Canada,Detailed mother tongue,```````?Malay`?10910
Canada,Detailed mother tongue,```````?Malayalam`?16080
Canada,Detailed mother tongue,```````?Maltese`?6220
Canada,Detailed mother tongue,```````?Mandarin`?248705
Canada,Detailed mother tongue,```````?Marathi`?5830
Canada,Detailed mother tongue,```````?Nepali`?8480
Canada,Detailed mother tongue,""```````?Niger-Congo languages, n.i.e.`?,14075
Canada,Detailed mother tongue,```````?Norwegian`?5800
Canada,Detailed mother tongue,```````?Oromo`?11140
Canada,Detailed mother tongue,```````?Panjabi (Punjabi)`?430705
Canada,Detailed mother tongue,```````?Pashto`?12465
Canada,Detailed mother tongue,```````?Persian (Farsi)`?170045
Canada,Detailed mother tongue,```````?Polish`?191645
Canada,Detailed mother tongue,```````?Portuguese`?211335
Canada,Detailed mother tongue,```````?Romanian`?90300
Canada,Detailed mother tongue,```````?Rundi (Kirundi)`?3975
Canada,Detailed mother tongue,```````?Russian`?164330
Canada,Detailed mother tongue,```````?Rwanda (Kinyarwanda)`?3895
Canada,Detailed mother tongue,""```````?Semitic languages, n.i.e.`?,16970
Canada,Detailed mother tongue,```````?Serbian`?56420
Canada,Detailed mother tongue,```````?Serbo-Croatian`?10155
Canada,Detailed mother tongue,```````?Shanghainese`?2920
Canada,Detailed mother tongue,""```````?Sign languages, n.i.e.`?,3815
Canada,Detailed mother tongue,```````?Sindhi`?11330
Canada,Detailed mother tongue,```````?Sinhala (Sinhalese)`?14185
Canada,Detailed mother tongue,""```````?Sino-Tibetan languages, n.i.e.`?,4360
Canada,Detailed mother tongue,""```````?Slavic languages, n.i.e.`?,3630
Canada,Detailed mother tongue,```````?Slovak`?17580
Canada,Detailed mother tongue,```````?Slovenian`?10775
Canada,Detailed mother tongue,```````?Somali`?31380
Canada,Detailed mother tongue,```````?Spanish`?410670
Canada,Detailed mother tongue,```````?Swahili`?10090
Canada,Detailed mother tongue,```````?Swedish`?7350
Canada,Detailed mother tongue,""```````?Tagalog (Pilipino, Filipino)`?,327445
Canada,Detailed mother tongue,```````?Taiwanese`?9635
Canada,Detailed mother tongue,```````?Tamil`?131265
Canada,Detailed mother tongue,```````?Telugu`?9315
Canada,Detailed mother tongue,```````?Thai`?7935
Canada,Detailed mother tongue,```````?Tibetan languages`?4640
Canada,Detailed mother tongue,```````?Tigrigna`?10220
Canada,Detailed mother tongue,```````?Turkish`?29640
Canada,Detailed mother tongue,```````?Ukrainian`?111540
Canada,Detailed mother tongue,```````?Urdu`?172800
Canada,Detailed mother tongue,```````?Vietnamese`?144880
Canada,Detailed mother tongue,```````?Yiddish`?15205
Canada,Detailed mother tongue,`````?Other languages,77890
Canada,Detailed mother tongue,``Multiple responses`````````?639540
Canada,Detailed mother tongue,````English and French`?144685
Canada,Detailed mother tongue,````English and non-official language`?396330
Canada,Detailed mother tongue,````French and non-official language`?74430
Canada,Detailed mother tongue,""````English, French and non-official language",24095
Canada,Knowledge of official languages,Knowledge of official languages - Total population excluding institutional residents,33121175
Canada,Knowledge of official languages,`?English only,22564665
Canada,Knowledge of official languages,`?French only,4165015
Canada,Knowledge of official languages,`?English and French,5795570
Canada,Knowledge of official languages,`?Neither English nor French,595920
Canada,First official language spoken,First official language spoken - Total population excluding institutional residents,33121175
Canada,First official language spoken,`?English,24662900
Canada,First official language spoken,`?French,7507890
Canada,First official language spoken,`?English and French,367635
Canada,First official language spoken,`?Neither English nor French,582755
Canada,First official language spoken,Official language minority (number),7691705
Canada,First official language spoken,Official language minority (percentage),23.2
Canada,Detailed language spoken most often at home,Detailed language spoken most often at home - Total population excluding institutional residents,33121175
Canada,Detailed language spoken most often at home,`?Single responses,31958800
Canada,Detailed language spoken most often at home,```?English,21457075
Canada,Detailed language spoken most often at home,```?French,6827865
Canada,Detailed language spoken most often at home,```?Non-official languages,3673865
Canada,Detailed language spoken most often at home,`````?Selected Aboriginal languages,114610
Canada,Detailed language spoken most often at home,```````?Atikamekw``,5365
Canada,Detailed language spoken most often at home,"```````?Cree, n.o.s.",44520
Canada,Detailed language spoken most often at home,```````?Dene,7960
Canada,Detailed language spoken most often at home,```````?Innu/Montagnais,9630
Canada,Detailed language spoken most often at home,```````?Inuktitut,27170
Canada,Detailed language spoken most often at home,```````?Mi'kmaq,4160
Canada,Detailed language spoken most often at home,```````?Ojibway,6850
Canada,Detailed language spoken most often at home,```````?Oji-Cree,6875
Canada,Detailed language spoken most often at home,```````?Stoney,2070
Canada,Detailed language spoken most often at home,`````?Selected non-Aboriginal languages,3531990
Canada,Detailed language spoken most often at home,"```````?African languages, n.i.e.",4130
Canada,Detailed language spoken most often at home,```````?Afrikaans,4465
Canada,Detailed language spoken most often at home,```````?Akan (Twi),6545
Canada,Detailed language spoken most often at home,```````?Albanian,13765
Canada,Detailed language spoken most often at home,```````?Amharic,10760
Canada,Detailed language spoken most often at home,```````?Arabic,181790
Canada,Detailed language spoken most often at home,```````?Armenian,19140
Canada,Detailed language spoken most often at home,"```````?Bantu languages, n.i.e.",1815
Canada,Detailed language spoken most often at home,```````?Bengali,42065
Canada,Detailed language spoken most often at home,```````?Berber languages (Kabyle),1995
Canada,Detailed language spoken most often at home,```````?Bisayan languages,5390
Canada,Detailed language spoken most often at home,```````?Bosnian,6705
Canada,Detailed language spoken most often at home,```````?Bulgarian,12075
Canada,Detailed language spoken most often at home,```````?Burmese,1895
Canada,Detailed language spoken most often at home,```````?Cantonese,288620
Canada,Detailed language spoken most often at home,"```````?Chinese, n.o.s.",297295
Canada,Detailed language spoken most often at home,```````?Creoles,25475
Canada,Detailed language spoken most often at home,```````?Croatian,18730
Canada,Detailed language spoken most often at home,```````?Czech,7415
Canada,Detailed language spoken most often at home,```````?Danish,945
Canada,Detailed language spoken most often at home,```````?Dutch,11530
Canada,Detailed language spoken most often at home,```````?Estonian,1450
Canada,Detailed language spoken most often at home,```````?Finnish,3335
Canada,Detailed language spoken most often at home,```````?Flemish,455
Canada,Detailed language spoken most often at home,```````?Fukien,1900
Canada,Detailed language spoken most often at home,```````?German,126375
Canada,Detailed language spoken most often at home,```````?Greek,47705
Canada,Detailed language spoken most often at home,```````?Gujarati,55725
Canada,Detailed language spoken most often at home,```````?Hakka,2050
Canada,Detailed language spoken most often at home,```````?Hebrew,8400
Canada,Detailed language spoken most often at home,```````?Hindi,47080
Canada,Detailed language spoken most often at home,```````?Hungarian,22945
Canada,Detailed language spoken most often at home,```````?Ilocano,6160
Canada,Detailed language spoken most often at home,"```````?Indo-Iranian languages, n.i.e.",2285
Canada,Detailed language spoken most often at home,```````?Italian,139480
Canada,Detailed language spoken most often at home,```````?Japanese,18850
Canada,Detailed language spoken most often at home,```````?Khmer (Cambodian),11330
Canada,Detailed language spoken most often at home,```````?Korean,104905
Canada,Detailed language spoken most often at home,```````?Kurdish,6000
Canada,Detailed language spoken most often at home,```````?Lao,6980
Canada,Detailed language spoken most often at home,```````?Latvian,1625
Canada,Detailed language spoken most often at home,```````?Lingala,880
Canada,Detailed language spoken most often at home,```````?Lithuanian,2115
Canada,Detailed language spoken most often at home,```````?Macedonian,7775
Canada,Detailed language spoken most often at home,```````?Malay,3940
Canada,Detailed language spoken most often at home,```````?Malayalam,7955
Canada,Detailed language spoken most often at home,```````?Maltese,1330
Canada,Detailed language spoken most often at home,```````?Mandarin,203275
Canada,Detailed language spoken most often at home,```````?Marathi,2800
Canada,Detailed language spoken most often at home,```````?Nepali,6320
Canada,Detailed language spoken most often at home,"```````?Niger-Congo languages, n.i.e.",3785
Canada,Detailed language spoken most often at home,```````?Norwegian,575
Canada,Detailed language spoken most often at home,```````?Oromo,4745
Canada,Detailed language spoken most often at home,```````?Panjabi (Punjabi),317075
Canada,Detailed language spoken most often at home,```````?Pashto,8700
Canada,Detailed language spoken most often at home,```````?Persian (Farsi),118830
Canada,Detailed language spoken most often at home,```````?Polish,85210
Canada,Detailed language spoken most often at home,```````?Portuguese,97210
Canada,Detailed language spoken most often at home,```````?Romanian,54460
Canada,Detailed language spoken most often at home,```````?Rundi (Kirundi),1335
Canada,Detailed language spoken most often at home,```````?Russian,109735
Canada,Detailed language spoken most often at home,```````?Rwanda (Kinyarwanda),1180
Canada,Detailed language spoken most often at home,"```````?Semitic languages, n.i.e.",11670
Canada,Detailed language spoken most often at home,```````?Serbian,34885
Canada,Detailed language spoken most often at home,```````?Serbo-Croatian,5040
Canada,Detailed language spoken most often at home,```````?Shanghainese,1325
Canada,Detailed language spoken most often at home,"```````?Sign languages, n.i.e.",6305
Canada,Detailed language spoken most often at home,```````?Sindhi,4870
Canada,Detailed language spoken most often at home,```````?Sinhala (Sinhalese),6850
Canada,Detailed language spoken most often at home,"```````?Sino-Tibetan languages, n.i.e.",3525
Canada,Detailed language spoken most often at home,"```````?Slavic languages, n.i.e.",1135
Canada,Detailed language spoken most often at home,```````?Slovak,5370
Canada,Detailed language spoken most often at home,```````?Slovenian,2475
Canada,Detailed language spoken most often at home,```````?Somali,21665
Canada,Detailed language spoken most often at home,```````?Spanish,252015
Canada,Detailed language spoken most often at home,```````?Swahili,4175
Canada,Detailed language spoken most often at home,```````?Swedish,1130
Canada,Detailed language spoken most often at home,"```````?Tagalog (Pilipino, Filipino)",161080
Canada,Detailed language spoken most often at home,```````?Taiwanese,4830
Canada,Detailed language spoken most often at home,```````?Tamil,98940
Canada,Detailed language spoken most often at home,```````?Telugu,5205
Canada,Detailed language spoken most often at home,```````?Thai,3215
Canada,Detailed language spoken most often at home,```````?Tibetan languages,3620
Canada,Detailed language spoken most often at home,```````?Tigrigna,5975
Canada,Detailed language spoken most often at home,```````?Turkish,18705
Canada,Detailed language spoken most often at home,```````?Ukrainian,25565
Canada,Detailed language spoken most often at home,```````?Urdu,113785
Canada,Detailed language spoken most often at home,```````?Vietnamese,104960
Canada,Detailed language spoken most often at home,```````?Yiddish,6860
Canada,Detailed language spoken most often at home,`````?Other languages,27265
Canada,Detailed language spoken most often at home,`?Multiple responses````````,1162370
Canada,Detailed language spoken most often at home,```?English and French,131205
Canada,Detailed language spoken most often at home,```?English and non-official language,875135
Canada,Detailed language spoken most often at home,```?French and non-official language,109700
Canada,Detailed language spoken most often at home,"```?English, French and non-official language",46330
Canada,Detailed other language spoken regularly at home,Detailed other language spoken regularly at home - Total population excluding institutional residents,33121175
Canada,Detailed other language spoken regularly at home,``None,28418595
Canada,Detailed other language spoken regularly at home,`?Single responses`?4554525,
Canada,Detailed other language spoken regularly at home,````English`?1910475,
Canada,Detailed other language spoken regularly at home,````French`?678940,
Canada,Detailed other language spoken regularly at home,````Non-official languages`?1965110,
Canada,Detailed other language spoken regularly at home,`````?Selected Aboriginal languages,62935
Canada,Detailed other language spoken regularly at home,````````Atikamekw```?470,
